ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CST_D_DCM_0053,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0054,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0055,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0056,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0057,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0058,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0059,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0060,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0061,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0062,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0063,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0064,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0065,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0066,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0067,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0068,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0069,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0070,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0071,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0072,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 2,Latium
CST_D_DCM_0073,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0074,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
